roi_name,Net7,posR,posA,posS,colR,colG,colB
17Networks_LH_DefaultB_PFCd_6,Default,-6,10,64,0.803921568627451,0.24313725490196078,0.3058823529411765
17Networks_LH_DefaultB_PFCl_1,Default,-40,20,48,0.803921568627451,0.24313725490196078,0.3058823529411765
17Networks_LH_DefaultB_PFCl_2,Default,-42,8,48,0.803921568627451,0.24313725490196078,0.3058823529411765
17Networks_LH_DefaultB_PFCv_1,Default,-36,22,-16,0.803921568627451,0.24313725490196078,0.3058823529411765
17Networks_LH_DefaultB_PFCv_2,Default,-36,36,-12,0.803921568627451,0.24313725490196078,0.3058823529411765
17Networks_LH_DefaultB_PFCv_3,Default,-46,32,-10,0.803921568627451,0.24313725490196078,0.3058823529411765
17Networks_LH_DefaultB_PFCv_4,Default,-48,28,0,0.803921568627451,0.24313725490196078,0.3058823529411765
17Networks_LH_DefaultB_PFCv_5,Default,-54,20,12,0.803921568627451,0.24313725490196078,0.3058823529411765
17Networks_LH_DefaultC_IPL_1,Default,-40,-78,30,0.803921568627451,0.24313725490196078,0.3058823529411765
17Networks_LH_DefaultC_Rsp_1,Default,-14,-48,4,0.803921568627451,0.24313725490196078,0.3058823529411765
17Networks_LH_DefaultC_Rsp_2,Default,-8,-52,10,0.803921568627451,0.24313725490196078,0.3058823529411765
17Networks_LH_DefaultC_Rsp_3,Default,-14,-60,18,0.803921568627451,0.24313725490196078,0.3058823529411765
17Networks_LH_DefaultC_PHC_1,Default,-20,-20,-26,0.803921568627451,0.24313725490196078,0.3058823529411765
17Networks_LH_DefaultC_PHC_2,Default,-30,-32,-18,0.803921568627451,0.24313725490196078,0.3058823529411765
17Networks_LH_DefaultC_PHC_3,Default,-18,-38,-12,0.803921568627451,0.24313725490196078,0.3058823529411765
17Networks_LH_TempPar_1,TempPar,-52,6,-12,0.0,0.0,0.99
17Networks_LH_TempPar_2,TempPar,-60,-12,-2,0.0,0.0,0.99
17Networks_LH_TempPar_3,TempPar,-62,-32,6,0.0,0.0,0.99
17Networks_LH_TempPar_4,TempPar,-52,-44,4,0.0,0.0,0.99
17Networks_LH_TempPar_5,TempPar,-58,-54,10,0.0,0.0,0.99
17Networks_LH_TempPar_6,TempPar,-58,-48,16,0.0,0.0,0.99
17Networks_RH_VisCent_ExStr_1,Vis,36,-54,-18,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisCent_ExStr_2,Vis,38,-74,-16,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisCent_ExStr_3,Vis,24,-74,-10,0.47058823529411764,0.07058823529411765,0.5254901960784314
