roi_name,Net7,posR,posA,posS,colR,colG,colB
7Networks_LH_Default_PFC_24,Default,-6,10,64,0.803921568627451,0.24313725490196078,0.3058823529411765
7Networks_LH_Default_pCunPCC_1,Default,-8,-52,10,0.803921568627451,0.24313725490196078,0.3058823529411765
7Networks_LH_Default_pCunPCC_2,Default,-14,-60,18,0.803921568627451,0.24313725490196078,0.3058823529411765
7Networks_LH_Default_pCunPCC_3,Default,-4,-54,20,0.803921568627451,0.24313725490196078,0.3058823529411765
7Networks_LH_Default_pCunPCC_4,Default,-6,-40,24,0.803921568627451,0.24313725490196078,0.3058823529411765
7Networks_LH_Default_pCunPCC_5,Default,-10,-70,32,0.803921568627451,0.24313725490196078,0.3058823529411765
7Networks_LH_Default_pCunPCC_6,Default,-6,-60,30,0.803921568627451,0.24313725490196078,0.3058823529411765
7Networks_LH_Default_pCunPCC_7,Default,-8,-44,32,0.803921568627451,0.24313725490196078,0.3058823529411765
7Networks_LH_Default_pCunPCC_8,Default,-4,-34,38,0.803921568627451,0.24313725490196078,0.3058823529411765
7Networks_LH_Default_pCunPCC_9,Default,-2,-16,38,0.803921568627451,0.24313725490196078,0.3058823529411765
7Networks_LH_Default_pCunPCC_10,Default,-2,-68,42,0.803921568627451,0.24313725490196078,0.3058823529411765
7Networks_LH_Default_pCunPCC_11,Default,-6,-50,42,0.803921568627451,0.24313725490196078,0.3058823529411765
7Networks_RH_Vis_1,Vis,34,-36,-24,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_2,Vis,30,-30,-18,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_3,Vis,36,-54,-18,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_4,Vis,38,-74,-16,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_5,Vis,26,-52,-8,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_6,Vis,24,-74,-10,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_7,Vis,18,-36,-12,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_8,Vis,20,-88,-12,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_9,Vis,50,-64,-10,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_10,Vis,42,-84,-12,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_11,Vis,10,-72,-6,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_12,Vis,14,-58,-4,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_13,Vis,26,-96,-10,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_14,Vis,18,-44,-2,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_15,Vis,8,-92,-2,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_16,Vis,48,-66,4,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_17,Vis,14,-46,4,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_18,Vis,36,-88,2,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_19,Vis,10,-74,8,0.47058823529411764,0.07058823529411765,0.5254901960784314
